Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
6-9	8	Masters	Economics	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Finance Architect	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis	Embedded in another group	Excel/PowerPoint	No	Marketing	2	3	2	0,5	0,5	2	Excel	We have a set list of tools we're expected to use for data visualization.	Dashboard, Documents, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Network Diagram, Flow Diagram, VR/AR Charts	Executives	Expert	Weekly	Analysis	Consultative	2	The design side of data visualization				4	5				More	Male	36-45	France	Private sector
6-9	8	PhD	Psychology	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Don't Know	Design, Data Science/Analytics	2	3	1	0	1	0	ggplot, Tableau	I'm able to choose my own tools.	Dashboard, Presentations, Email	Line Chart, Bar Chart, Flow Diagram	Engineers, Product Managers, Project Managers	Intro	Weekly	Analysis, Summarization	Consultative	4	The design side of data visualization				5	3				Same	Male	26-35	Washington	Private sector
6-9	8	Bachelors	Math	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No		Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics	1	3	3	I 	0	0	D3, Gephi, Highcharts, Leaflet, Mapbox, Plotly, Processing, Python, QGIS, React, Vega, Victory	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map, Raster Map	Analysts, Engineers, Product Managers, Executives	Intro	Weekly	Entertainment, Summarization, PR/Branding	Collaborative	3	The design side of data visualization	Not enough time for visualization 	Better design	The benefits of doing it. 	5	4	More time		Jason Sundram	Much more	Male 	36-45	California	Public sector
6-9	8	Other	Computer Science	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Data Scientist	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Summary/Overview	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Excel/PowerPoint	Yes	IT, Data Science/Analytics	4	2	8	2	4	0	Excel, Python, Tableau	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool, Dashboard, Static Web Page, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Treemap, Circle charts, process behavior	Executives, Mgmt , customer	Moderate	Weekly	Making business decisions	Collaborative	4	The design side of data visualization	Data cleanliness	Deadlines	Data integrity	2	4	More time for training		Tableau Zen Masters	Same	Female	36-45	New York	
6-9	9	PhD	Cognitive Science	Mostly Self-Taught	Video Tutorials	Intended to work in data visualization	No		Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	post doctoral researcher, studying cognition of data vis as a topic	Analysis, Summary/Overview, Communication	Both	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint, MATLAB, R	Yes	Research, Data Science/Analytics	2	1	0.5	0	2	0	D3, Excel, ggplot, R, Tableau	I'm able to choose my own tools.	Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot	Analysts, Scientists	Expert	Monthly	Education, Research	Collaborative	4	The design side of data visualization	I still don't know if many of the best practices are empirically supported	I wish I could be better at rapid prototyping, and have opportunities for feedback in response to rapid prototypes	I study the cognitive processes underlying the perception of data visualizations. I worry that a lot of practitioners know what works and don't care much about the "why" those practices work, so my contribution may not be as much as I hope	4	2	My own personal skills with highly customizable tools. I'm very comfortable with ggplot, but my d3.js is weak and I think that keeps me from playing around with visualization ideas and sharing them online	More knowledge dissemination. I don't think the world has enough good video tutorials	Steven Franconeri, Jeff Heer, Jessica Hullman	More	Female	26-35	Illinois	Academic
6-9	9	PhD	Computer Science	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No	Professor	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Research	2	3	1	2	2	0	D3, Angular, Excel, Leaflet, Python, R, Tableau, Vega, Web Components, WebGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Presentations, Interactive Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map	General Public, Analysts, Scientists	Moderate	Quarterly	Analysis, Education	Collaborative	5	The design side of data visualization	Not enough time		They don't know how much time it takes to craft a visualization. They think it magically appears with the click of a button. 	5	5			Giorgia Lupi, Alberto Cairo, Robert Kosara, Elijah Meeks, Jeff Heer	Much more	Female	36-45	Brazil	Academic
6-9	9	PhD	Media Studies	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	No	Associate Professor	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Public Servant	Analysis, Summary/Overview, Communication, Exploration	Separate data visualization group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	Design, Research	3	1	2	3	3	1	D3, Gephi, Illustrator, Processing, WebGL	I'm able to choose my own tools.	Static Web Page	Bar Chart, Scatterplot, Pictorial Visualization, Network Diagram, 3D Charts	General Public, Designers, Students	Intro	Weekly	Education	Collaborative	3	The design side of data visualization	Sometimes translating from English to other languages.	Moving from the 2D support towards digital or physical 3D viz		5	5	More time.	To support funding for travelling and going to workshops abroad.		Much more	Male	36-45	France	Academic
6-9	9	Bachelors	Graphic design, mathematics	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Infographics Editor	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Communication	Separate data visualization group	Hand-crafted in a graphics editor (Illustrator), LocalFocus, Flourish 	No	Design	2	3		2			D3, Illustrator, QGIS, Web Components	I'm able to choose my own tools.	In news articles	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Flow Diagram	General Public, Collegues (journalists)	Intro, Moderate	Daily	Journalism, Analysis		3	The design side of data visualization	To little time to keaen and experiment		The value, the work to make, the importance for storytelling	4	5				Same	Male	56+	Netherlands	Journalism
6-9	9	PhD	Cognitive Science	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No	Postdoctoral Researcher	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Consultant/Contractor/Freelancer						1	0	0.5	1	1	0.5	D3, Excel, ggplot, Leaflet, Power BI, R, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents, Presentations	Bar Chart, Scatterplot, Infographics, Network Diagram, Flow Diagram	General Public, Scientists, Designers, Research Study Participants	Intro, Moderate		Entertainment, Journalism, Education, Research, PR/Branding	Consultative	5	The design side of data visualization	Deploying and releasing; securing approval to use and release datasets.	More channels / venues to share and present the work.	That visualization design is not a simple recipe. That in most cases, all we have are to guide us are rules of thumb, "conventional design wisdom", Tufte-isms, and Few-isms. That vision science and human factors research is needed to better guide our design choices.	5	5	A richer repository of benchmark datasets of various data types with which to test new methods.	Getting visualization practitioners and researchers to talk to one another. 	Giorgia Lupi, Nadieh Bremer, Amanda Cox, Fernanda Viegas, Martin Wattenberg, Jeff Heer, Mike Bostock, Alberto Cairo	Much more	Male	26-35		Private sector
6-9	9	Masters	Operational Research	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Don't Know	Design, Data Science/Analytics	6	0	0	0.5	1	0	Excel, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Documents	Line Chart, Bar Chart, Pie Chart, Treemap	Executives, Salespeople	Moderate	Weekly	Analysis	Consultative	4	The design side of data visualization	Messy data	More variety in data sources	Data latency	2	4	Cleaner, more granular data	Webinars	Andy Cotgreave	Less	Male	26-35	UK	Private sector
6-9	9	Masters	Zoology, Sociology, Global Health	Mostly Self-Taught	Workshops	Intended to work in data visualization	No	Data Visualization Lead	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Research, Leadership, Data Science/Analytics	4	1		1	2		ArcGIS, D3, Excel, Gephi, Highcharts, Mapbox, Microstrategy, Power BI, Python, Qlik, R, Tableau	I'm able to choose my own tools.	Dashboard, Scrollytelling, Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Flow Diagram, Big Ass Numbers / Table	Analysts, Product Managers, Project Managers, Executives	Moderate	Weekly	Analysis, Summarization, Research	Collaborative	5	Both	Rush to build things, instead of focusing on unpacking user needs	More time to explore new tools.	That 70% of my time is spent in the requirements / data prep phase, and only 30% or so is spent actually building things.	2	5	More cross functional teams that include experts in UX and change management.	More sharing of real world (sometimes not-so-pretty but highly functional) dashboards that drive real decision making.	Jon Schwabish, Cole Knaflic, Alberto Cairo	Same	Female	26-35	Washington, DC	Private sector
6-9	9	Bachelors	Math	Mostly Self-Taught	Books	Ended up doing data visualization as a requirement of the job	No	Senior Software Engineer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code)	Yes	Engineering, Marketing, Research, Data Science/Analytics	0.5	0.5	1	2	0.5	0	D3, Plotly, React, Vega	I'm able to choose my own tools.	Embedded in a tool, Dashboard	Line Chart, Bar Chart, Scatterplot, Infographics	Analysts, Engineers, Scientists	Intro, Moderate	Weekly	Analysis	Collaborative	2	The data side of data visualization	Needing more structured data			4	4			Lynn Cherny	More	Male	26-35	California	Private sector
6-9	9	Bachelors	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Head of Technology	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Summary/Overview	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, Engineering	2	1	0	0	0.5	0	ArcGIS, D3, Highcharts, Illustrator, Mapbox, React, Custom	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot	Analysts, Engineers, Product Managers, Project Managers, Executives	Expert	Hourly	Analysis, Summarization	Collaborative	4	The design side of data visualization	Not be given enough time	Code should be more readable, declarative and shareable	How it’s not that difficult once you understand the concepts and language	4	5	Hiring a highly skilled data Visualization engineer	Data Visualization in big data applications where it has to be a system that supports uncontrolled datasets. Usual focus is on static datasets that can be orchestrated visually in a controlled way.	Mike Bostock	Same	Male	26-35	UK	Private sector
6-9	9	Technical School	Textiles	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Software Engineer	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Both	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Marketing, IT, Leadership, Data Science/Analytics	4	0	0	2	1	0	D3, Excel, QGIS, React, Vega, WebGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map	General Public, Analysts, Product Managers, Project Managers, Executives, Designers	Moderate, Expert	Weekly	Entertainment, Journalism, Summarization, Education, PR/Branding	Collaborative	4	The design side of data visualization	Data cleanup			3	4				Much more	Male	36-45	Iceland	Private sector
6-9	9	Masters	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes		Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Engineering, IT, Data Science/Analytics	1	4	1	0	2	0	Excel, Power BI, Python, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard	Line Chart, Bar Chart, Scatterplot, Treemap, Flow Diagram	Product Managers, Project Managers, Executives	Expert	Daily	Analysis, Summarization, Research, PR/Branding	Collaborative	3	The data side of data visualization	Not enough design and formatting options in the tool	Moving from Tableau to PowerBI	Data structure is mess to clean	4	5	Being a developer also I wish I could create simple conf file or YAML file and tool creates dashboard and publish based on that			Same	Male	36-45	California	Private sector
6-9	9	Bachelors	Computer Science	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Senior Software Engineer	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Exploration	Both	Notebooks, Custom in house tools	Don't Know	Design, Engineering, Marketing, Research, Data Science/Analytics	0	1	0.5	0	0	0	Python, R, In house tools	We have a set list of tools we're expected to use for data visualization.	Documents, Presentations, Notebooks	Line Chart, Bar Chart, Scatterplot, Treemap	Analysts, Engineers, Product Managers, Project Managers	Expert	Daily	Analysis, Summarization, Education, Research	Collaborative	5	The data side of data visualization	The data visualization community focusing on shiny visualization projects instead of solving problems and helping people.			1	1	D3 Blocks, but for R's ggplot	Impact on actual people, readability of these shiny new visualizations, how to measure engagement, how to evaluate our work in a systematic honest way, is what we're doing actually mattering to anyone outside of this community?		Less		N/A		Private sector
6-9	9	Masters	Political science	Mostly Self-Taught	Books	Ended up doing data visualization as a requirement of the job	No	BI Developer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	IT	2	3	0	1	1	0	Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap	Analysts, Medical Professionals, Executives	Intro, Moderate	Monthly	Analysis, Summarization, Research	Consultative	5	The design side of data visualization	All employees at several locations, specialties and levels expect to be hand-fed insights from data from a comparably small central team without any investment on their own side.			2	4				Same	Male	26-35	Denmark	Public sector
10+	10	Bachelors	Computer Science	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	No	CIO	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Design, Research, IT, Leadership, Data Science/Analytics	3	0.4	0.4	1.2	0.5	0	Excel, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Choropleth Map, Flow Diagram	General Public, Analysts, Product Managers, Project Managers, Executives	Moderate	Daily	Analysis, Summarization, Research, PR/Branding	Collaborative	5	The design side of data visualization	Never enough time to work on all that could be worked on. 			2	4			Andy Cotgreave	More	Male	56+	Washington	Academic
10+	10	PhD	Environmental Science 	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Land Use Quantitative Analyst	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Embedded in another group	Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	No	Research	1	4	1	0.5	1	0	ggplot, QGIS, R	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations	Bar Chart, Scatterplot, Network Diagram, Choropleth Map, Raster Map	General Public, Analysts, Scientists, Project Managers, government	Intro, Moderate, Expert	Weekly	Entertainment, Journalism, Analysis, Summarization, Education, Research, policy	Collaborative	4	The design side of data visualization	Not enough hours!	Have someone to help me	It is iterative	3	3	Management consistency		Andy Kirk	Same	male	36-45	Scotland	Academic
10+	10	Masters	Statistics	Equal Parts School and Self-Taught	Combining all of the above	Ended up doing data visualization as a requirement of the job	No	Statistician	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	Design, Marketing, Research, IT, Data Science/Analytics	1	3	2	1	4	0.5	D3, Excel, ggplot, Illustrator, Power BI, R, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Network Diagram, Flow Diagram	General Public, Analysts, Engineers, Scientists, Medical Professionals, Product Managers, Project Managers, Executives, Designers	Intro, Moderate, Expert	Daily	Analysis, Summarization, Education, Research, PR/Branding	Collaborative	1	Both	The lack of understanding that working with data requires understanding of the context and isn’t just crunching numbers.	More time to explore data with my stakeholders so we could try more unusual approaches.	That data Visualization can’t always show exactly what you want unless you’re dishonest.	5	5	Better access to software that I can use to give my ideas life.	More robust research on the best ways to visualise data that enables understanding and inspires.	Andy Kirk, Alberto Cairo, Stephanie Evergreen	Much more	Female	26-35	Scotland	Academic
10+	10	PhD	Physics	Mostly Self-Taught	Practice	Ended up doing data visualization as a requirement of the job	No	Associate Professor, Founder 	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Professor and Company Founder	Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Algorithmic storytelling 	Both	Completely custom (Processing, D3, custom code), D3plus	Yes	Design, Research, Data Science/Analytics	2	2	2	2	2	0.5	Cytoscape, D3, React, D3plus	I'm able to choose my own tools.	Scrollytelling, Platforms (DataUSA.io, DataChile.io, DataAfrica.io, etc) 	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Flow Diagram	General Public, Analysts, Engineers, Scientists, Project Managers, Executives, Designers	Moderate	Hourly	Journalism, Analysis, Summarization, Education, Research, PR/Branding	Collaborative	5	Other	Clients, Designers, Engineers 			2	3			Cesar Hidalgo	Much Less	Male	36-45	Massachusetts	Academic
10+	10	PhD	Media Arts	Equal Parts School and Self-Taught	Articles / Attending conferences (IEEE VIS and others)	Intended to work in data visualization	No	Assistant Professor	Data Visualization Role has same compensation	Data visualization is the focus of my job	Data visualization is only part of my job	Less	Assistant Professor	Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Research	Both	Completely custom (Processing, D3, custom code)	Yes	Design, Engineering, Data Science/Analytics	4	2	2	4	2	0.125	Cytoscape, D3, Processing, Python, R, WebGL, Unity, OpenGL, DirectX, SVG.js, Javascript, pen & paper, whiteboards	I'm able to choose my own tools.	Static Web Page, Documents, Presentations	Line Chart, Scatterplot, Infographics, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram, VR/AR Charts	General Public, Analysts, Engineers, Scientists, Medical Professionals	Moderate, Expert	Daily	Research	Collaborative	5	The design side of data visualization	finding enough time	more collaborators	tend to initially think it's solely about communication, rather than analysis	4	3	collaborators with great programming + design skills		Giorgia Lupi, Sheelagh Carpendale	Same	Male	36-45	California	Academic
10+	10	PhD	Bioinformatics	Mostly Self-Taught	Tidy Tuesday style learning	Ended up doing data visualization as a requirement of the job	No	Assistant Professor	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Assistant Professor	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Embedded in another group	Notebooks, Completely custom (Processing, D3, custom code), Shiny	No	Data Science/Analytics	2	0	2	1	2	0	Cytoscape, D3, Excel, ggplot, Plotly, R	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Dendrogram, Network Diagram	General Public, Scientists, Medical Professionals	Intro, Moderate	Weekly	Analysis, Summarization, Education, Research	Collaborative	4	The design side of data visualization	The raised expectations when I bring interactive visualizations in.	Having more time to work on and collaborate on it	That good data visualization comes from collaboration, it's doesn't just come out of nowhere	4	4	Having more time/support to dedicate to it.	More about interactive figures in research	Hadley Wickham	Much more	Male	36-45	Oregon	Academic
10+	10	Masters	History	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Lecturer	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	Design, Engineering, Research, IT, Data Science/Analytics	1	2	0	1	3	0	ArcGIS, Cytoscape, D3, Angular, Excel, Gephi, Illustrator, Leaflet, Mapbox, Python, QGIS, R, Tableau, WebGL	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Dendrogram, Network Diagram, Choropleth Map, Raster Map, Flow Diagram	General Public, Analysts, Scientists, Students	Intro	Weekly	Analysis, Summarization, Education, Research	Collaborative	3	The design side of data visualization	Lack of time to focus	Increase collaboration	Amount of data munging	5	5	Focus			More	Male	46-55	Ireland	Academic
10+	10	PhD	Geography	Equal Parts School and Self-Taught	Online tutorials	Ended up doing data visualization as a requirement of the job	No	Assistant Professor	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Civil servant	Analysis, Communication, Exploration, Education	Both	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Engineering, Research, IT, Data Science/Analytics, Education	3	2	1	1	1	0	ArcGIS, D3, Excel, ggplot, Gephi, Illustrator, Leaflet, Mapbox, QGIS, R	I'm able to choose my own tools.	Embedded in a tool, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram	General Public, Analysts, Engineers, Scientists, Executives, Students	Intro, Expert	Weekly	Analysis, Education, Research	Collaborative	4	The data side of data visualization	Still seen as only technical, technician's work.	More scientific animation about dataviz.	That it's also a scientific endeavour.	4	4	More access to tools and ressources (esp. web).	Online free forums and papers.		More	Male	46-55	France	Academic
10+	10	PhD	Bioinformatics	Mostly Self-Taught	Books	Intended to work in data visualization	No	Professor	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Professor at a university	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Engineering, Research, Data Science/Analytics	1	0	1	1	0	0	Cytoscape, D3, Angular, Excel, ggplot, Illustrator, Plotly, Processing, Python, R, React, WebGL		Embedded in a tool, Dashboard, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Dendrogram, Network Diagram, Choropleth Map, Raster Map, Flow Diagram	General Public, Analysts, Engineers, Scientists, Medical Professionals	Intro, Moderate, Expert	Daily	Analysis, Summarization, Education, Research	Collaborative	4	Other	Few people understand the real value of data visualization and its limitations. I I still keep getting asked for more colors, more 3D, and more animations.	48 hour days	That visualization helps to communicate or to come up with good questions (hypotheses) but that it doesn't give firm answers in most cases.	1	2				More	Male	36-45	USA	Academic
