Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Academic,$60k - $80k,,"Analysis, Summary/Overview, Communication, Storytelling",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",2,Data Science/Analytics,5,0,5,5,1,1,"Excel, ggplot2, Illustrator, QGIS, R",I'm able to choose my own tools.,"Dashboard, Static Web Page, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Infographics, Pictorial Visualization","General Public, Analysts, Policymakers",Intro,Monthly,"Analysis, Summarization, Research",Consultative,4,It is a secondary activity in the work environment - analysis has the utmost priority and people don't necessarily care how it's visualized.,Reaching a common understanding that visualization is just as important as analysis.,The data visualization approaches affect how an audience will interpret something. Something that looks cool and fancy can compromise whether the audience will understand.,4,2,3,"Eliminating a ""Tableau or bust"" mentality.",Data visualization best practices based on human cognition and interpretation,Stephanie Evergreen,More,3,Masters,Academic,Biology,Woman,"No, but I identify as an Ally",Baltimore,USA,English
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$80k - $100k,$75.00,Education,There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),5,Academic Department,5,0,5,0,0,0,"Excel, Power BI, Qlik, Tableau",I'm able to choose my own tools.,Presentations,"Line Chart, Bar Chart, Scatterplot, Treemap, Flow Diagram (Sankey, DAGRE, Flow Chart)",Analysts,"Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization",Consultative,5,New position - doing administrative tasks.,,Time investment,5,3,4,,Formalizing education,Alberto Cairo,Much more,10,PhD,Academic,Psychology,Woman,"No, but I identify as an Ally",Marietta,USA,
Equal Parts School and Self-Taught,"Books, Workshops, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,Less,Engineer,,,"Summary/Overview, Communication, Marketing, Exploration, Storytelling",Embedded in another group,"General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6,"Design, Engineering",30,2,0,2,2,2,"D3, Excel, Gephi, Illustrator, Mapbox, React, WebGL, Pen & Paper, Greensock, Canvas",I'm able to choose my own tools.,"Embedded in a tool, Scrollytelling, Static Web Page, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Infographics, Force-Directed Graph","General Public, Analysts, Product Managers, Project Managers","Intro, Moderate, Expert",Weekly,"Entertainment, Analysis, Summarization, Education, PR/Branding",Collaborative,2,Not enough time to experiment / look into more complex relationships in data,More hands on work with data,The role of interactivity and how it can enhance the whole experience,4,4,2,More time,,Tamara Munzer,More,4,Masters,Private sector,Computer Science,Woman,No,London,United Kingdom,English
Equal Parts School and Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Developer,$80k - $100k,,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Marketing, Data Science/Analytics",3,7,7,5,7,2,"ArcGIS, D3, Excel, Illustrator, Python, R, React, Tableau, WebGL, Pen & Paper, Canvas",I'm able to choose my own tools.,"Embedded in a tool, Static Web Page","Line Chart, Bar Chart, Dendrogram","General Public, Analysts, Engineers, Scientists, Medical Professionals","Intro, Expert",Daily,"Analysis, Summarization, Research, PR/Branding",Consultative,4,Not complex data,Simplifying number of graphs,A good one is worth investing in,3,5,4,,,,,3,Bachelors,Private sector,Computer Science,Woman,Yes,Boston,USA,
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,Less,Analyst,$40k - $60k,,"Summary/Overview, Communication, Storytelling, Education",Embedded in another group,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Interactive Maps - AGOL",4,"Research, Communications",10,0,5,10,15,,"ArcGIS, Excel, ggplot2, Illustrator, Python, R, Pen & Paper",I'm able to choose my own tools.,"Embedded in a tool, Documents, Presentations, Email","Line Chart, Bar Chart, Treemap, Dendrogram, Choropleth Map","General Public, Project Managers, Courts, Lawyers, Policymakers","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Education, Research",Collaborative,3,"Not enough institutional understanding of what data viz is and what it can do for our organization, especially not understanding the diversity of data viz.",I would do more of it and have more time to do it,"I'm a GIS professional, and people don't get that my background means I do data work and visualizations beyond maps",4,4,4,Invest in professional development,"Mentorship opportunities, no one in my organization does what I do",,Much more,3,Masters,Not-for-profit,Political Science/Latin American Studies,Woman,Yes,"Durham, NC",USA,English
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Analyst,$40k - $60k,,"Analysis, Summary/Overview, Communication, Marketing, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Hand-crafted in a graphics editor (Illustrator), Maps",2,"Design, Marketing, Data Science/Analytics",1,0,8,8,24,0,"ArcGIS, Excel, Illustrator",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Presentations","Hexbin/Heatmap, Infographics",General Public,"Intro, Moderate",Weekly,"Entertainment, Journalism, Analysis, Education, PR/Branding",Collaborative,1,Difficulty finding projects to work on,Practice data,That it is important and it drives people to think. Visual is important.,5,5,5,"I wish I can take a couple months off to do a bootcamp, but due to expense and work schedule, it seems to be a bit difficult.",I want to have local meetups,,Much more,3,Bachelors,Private sector,,Woman,No,Toronto,Canada,English
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,More,Designer,$40k - $60k,$26.00,"Analysis, Communication, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, Hand-crafted in a graphics editor (Illustrator)",3,Department of innovation and technology ,28,0,4,4,4,0,"ArcGIS, Excel, Illustrator, Python, Pen & Paper",We have a set list of tools we're expected to use for data visualization and this causes major issues,"Embedded in a tool, Dashboard, Scrollytelling, Documents, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Infographics, Treemap, Choropleth Map, Raster Map","General Public, Engineers, Project Managers, Executives",Intro,Weekly,Analysis,Consultative,2,lots of different tools. Which one to use for what purpose. ,Better at programming ,Good quality data is necessary. Data collection needs to be thoughtfully planned out or the results will not be insightful,4,5,4,I am fairly isolated and would love to work with others so that I can learn from them ,,Alberto Cairo,Much more,3,Bachelors,Public sector,Geography,Woman,No,Sioux Falls,USA,"English, French"
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$80k - $100k,$43.00,"Analysis, Summary/Overview, Communication, Exploration",Embedded in another group,Hand-crafted in a graphics editor (Illustrator),1,"Engineering, Data Science/Analytics",3,10,10,,20,0,"ArcGIS, Excel, Illustrator, Python",We have a set list of tools we're expected to use for data visualization and this causes major issues,Documents,"Scatterplot, Hexbin/Heatmap, Choropleth Map","Analysts, Engineers, Project Managers, Executives",Intro,Not tracked / Unknown,"Analysis, Summarization",Collaborative,1,Lacking training and tools ,Data Governance ,,5,3,5,Tools,,,Much more,6,Bachelors,Public sector,GIS ,Woman,Yes,,Canada,English 
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Analyst,$80k - $100k,$34.00,"Analysis, Summary/Overview, Communication, Storytelling, Education",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),5,"Leadership, Data Science/Analytics",5,10,5,2,5,0,"Excel, Tableau",I'm able to choose my own tools.,"Dashboard, Presentations, Email","Line Chart, Bar Chart, Pie Chart","Project Managers, Executives",Moderate,Daily,"Analysis, Summarization, Education",Consultative,1,Not enough time or resources to do it properly,To spend more time on it. ,How long some things can take and how valuable feedback is. ,5,3,1,More feedback from audiences. ,How to manage time better,"Chris McClellan, Tableau community, Tableau Public",Much more,2,Bachelors,Private sector,Mathematics and Secondary Teaching,Woman,No,Melbourne,Australia,English
Equal Parts School and Self-Taught,"Books, Workshops, Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Student,$20k - $40k,$40.00,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means, using mapping software (ArcGIS)",4,"Design, Research, Leadership, Data Science/Analytics",2,1,5,3,10,2,"ArcGIS, Excel, ggplot2, Illustrator, Leaflet, Mapbox, Python, QGIS, R, Tableau, Pen & Paper, Other physical materials",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Static Web Page, Documents, Presentations, Email, Newspaper or other physical handout, preparation for published version in static, and interactive online","Line Chart, Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics, Treemap, Choropleth Map, Raster Map","General Public, Analysts, Product Managers, Project Managers, Executives, Designers, academic advisors",Moderate,Not tracked / Unknown,"Analysis, Summarization, Education, Research, PR/Branding",Consultative,2,not having enough attributes to show variation or similarity well enough,"to have a better understanding of coding to automate new data aggregation, and to be able to have access to design software as did in previous schooling","that it can take hours to finesse the design details, which interferes with planning other elements of the work required to accompany the data analysis",5,5,4,"a clear understanding of what the client is looking for, based on the data they can provide - and that they had a background in the tools to guide my work",user-centric consultation to best work with stakeholders to achieve the most ideal finished results for the future of the data product,Johnny Eaton,Much more,5,Technical School,Academic,"Geography, Art History, Anthropology",Woman,Yes,Guelph,Canada,"English, French"
Mostly Self-Taught,"Workshops, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Student,$20k - $40k,$26.00,"Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3,"Research, Data Science/Analytics",3,7,5,,5,,"Excel, ggplot2, R, Pen & Paper",I'm able to choose my own tools.,"Documents, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Swarm Chart","General Public, Scientists, Medical Professionals, Project Managers, Executives","Intro, Moderate",Quarterly,"Journalism, Analysis, Summarization, Education, Research",Collaborative,3,Competing priorities,Spend less time wrangling data,Planning with pen & paper is important,5,5,5,More dedicated time for R,,,More,5,Masters,Academic,Sociology,Woman,"No, but I identify as an Ally",,USA,
Equal Parts School and Self-Taught,"Workshops, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others, studio art teaching methods",Improving my skills with an existing technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,About as much as I expected for this role,Student,$20k - $40k,$70.00,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7,"Research, Data Science/Analytics",4,3,10,0,3,0,"D3, Excel, ggplot2, Illustrator, Python, QGIS, R, Pen & Paper, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)",Scientists,"Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Education, Research",Collaborative,5,,,,5,5,4,,,"Tamara Munzner, Enrico Bertini, Been Schneideman",Much more,,currently in PhD program,Academic,computer engineering,Woman,No,New York,USA,English
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Student,$20k - $40k,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",1,"Research, Data Science/Analytics",10,10,10,4,10,0,"Excel, ggplot2, Illustrator, Python, R, Pen & Paper, Matplotlib",I'm able to choose my own tools.,"Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization","General Public, Scientists","Intro, Moderate",Not tracked / Unknown,"Analysis, Summarization, Research",Collaborative,3,Not having enough time to work on it!,Adding higher computing power to build from large datasets,That it's widely applicable to non academic settings,5,5,3,Having more time and resources to do it!,"Skill-building workshops, online challenges for data viz","FiveThirtyEight, Financial Times, New York Times",Much more,3,Bachelors,Academic,Neurobiology,Woman,No,New York,USA,
Mostly Self-Taught,"Workshops, Examples, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Scientist,$20k - $40k,,"Summary/Overview, Communication",Embedded in another group,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,I'm a freelancer or otherwise not in a large organization and so this doesn't apply,5,0,5,2,5,1,"Excel, ggplot2, Illustrator, R, Pen & Paper",I'm able to choose my own tools.,"Static Web Page, Documents, Presentations","Line Chart, Scatterplot, boxplot, density plot, forest plot",myself-- scientist making visualizations for publication/presentations,"Moderate, Expert",Not tracked / Unknown,Research,Collaborative,5,usually the data itself!,"I don't have access to Illustrator, and Inkscape is not as user-friendly","Others don't think as carefully about design choices (especially color palettes, 'cleanness' of the graph, fonts). They think my plots are 'pretty' but don't seem to get that the design choices I make are about more than aesthetics",2,3,2,Illustrator for all!,"best practices for exporting plots for different purposes. i.e., I always have an annoyingly hard time exporting high resolution plots in the right dimensions from ggplot. Don't know why I can't figure this out!",Hadley Wickham,More,0,PhD,Academic,Biology,Woman,"No, but I identify as an Ally","Houston, TX",USA,English
Mostly From School (or other formal courses),"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Student,"Less than $20,000",,"Analysis, Summary/Overview, Communication, Exploration, Storytelling, Research",Both,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Research, Data Science/Analytics",20,0,0,20,20,0,"ggplot2, Illustrator, R, Flourish, RawGraphs",I'm able to choose my own tools.,"Documents, Presentations, Print","Line Chart, Bar Chart, Scatterplot, Infographics, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","Researchers, Professors",Expert,Not tracked / Unknown,"Summarization, Research, Assignments",Collaborative,5,,Clean data,Too insider,1,5,5,More education,"More basics, fundamentals, building a strong foundation",Alberto Cairo,Much more,1,Pursuing a masters,Academic,Photography,Woman,"No, but I identify as an Ally",Miami,USA,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Designer,$80k - $100k,,"Summary/Overview, Communication, Education",There are no specialists in data visualization in my organization,"Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7,"Design, Research, Leadership",20,0,0,20,0,0,"Excel, Illustrator, Pen & Paper",I'm able to choose my own tools.,"Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Infographics, Pictorial Visualization","Engineers, Scientists, Product Managers, Executives, Designers","Intro, Moderate",Not tracked / Unknown,"Summarization, Research",Collaborative,4,Lack of time to explore various options,,,5,4,5,,,Alberto Cairo,More,10,Bachelors,Private sector,Advertising,Woman,No,Washington DC,USA,
Mostly Self-Taught,"Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Designer,$40k - $60k,$20.00,"Communication, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",3,"Design, Marketing",1,0,0,35,0,0,Illustrator,We have a set list of tools we're expected to use for data visualization and this causes no issue,Documents,"Bar Chart, Pie Chart, Infographics",accountants,Intro,Not tracked / Unknown,"Summarization, Education, Research",Subordinate,1,hard to make a case for providing education on dataviz for graphic designers,learning new skills ,not understanding the time put into creating dataviz is worth it. ,5,3,5,enhancing my skills ,how to articulate content into visuals ,,More,,diploma,Not-for-profit,Illustration,Woman,No,toronto,Canada,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Designer,$80k - $100k,,"Communication, Storytelling, Education, magazine",There are no specialists in data visualization in my organization,"General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5,Design,,,,,,0,"Excel, Illustrator, QGIS, Web Components, Pen & Paper",I'm able to choose my own tools.,"Scrollytelling, Newspaper or other physical handout, website","Line Chart, Bar Chart, Hexbin/Heatmap, Choropleth Map, Raster Map","General Public, Engineers, Scientists, Medical Professionals",Moderate,Weekly,"Journalism, Education",Collaborative,3,,,,2,4,3,,,,,3,finsihing masters,Journalism,Biology,Woman,No,"Oakton, Va",USA,"English, Gujarati"
Mostly Self-Taught,"Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$180k - $200k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Design, Marketing, Research, Data Science/Analytics",15,15,30,0,,,"Python, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Interactive Notebook, Presentations","Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map, Force-Directed Graph","Analysts, Scientists",Moderate,Weekly,"Analysis, Research, PR/Branding",Collaborative,5,,,,3,2,1,,,,Same,10,PhD,Private sector,Math,Woman,Yes,DC,USA,
Mostly Self-Taught,"Books, Workshops, Working through a project",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$160k - $180k,,"Analysis, Machine Learning, Exploration, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4,"Design, Data Science/Analytics",10,0,0,20,0,0,"Excel, Illustrator",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Flow Diagram (Sankey, DAGRE, Flow Chart), Dot plot","Analysts, Engineers, Product Managers, Executives, Designers","Intro, Moderate, Expert",Daily,"Analysis, Research",Collaborative,4,Accessing the data and the extract/transform/load part of data engineering,Make large data calls more performant,"That it's not just HOW you present it; it's WHAT you choose to present, too. ",2,3,4,,,"Amanda Cox, Alberto Cairo, Nathan Yau, Moritz Stefaner, Kim Rees",Less,10,Bachelors,Private sector,Graphic Design,Woman,No,Washington D.C.,USA,English
Mostly Self-Taught,"Books, Workshops, Collaboration with more skilled practitioners, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$60k - $80k,,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5,"Marketing, Research, Leadership, Data Science/Analytics",18,8,1,6,3,0,"D3, Excel, ggplot2, Illustrator, Java, Power BI, R, Pen & Paper, Other physical materials",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Flow Diagram (Sankey, DAGRE, Flow Chart), Venn Diagrams and Ternary Plots","General Public, Analysts, Product Managers, Project Managers, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Education, Research, PR/Branding",Collaborative,1,"Not enough people to handle all the analysis we need to do, which sometimes means shipping before complete / properly tested ",More time,"The easier you make it to use, and the more visual simplicity you achieve the less they appreciate the time and expertise required to achieve simplicity and clarity.",5,5,2,More structured resources for those with some level of expertise. There are loads of books and training courses available for beginners but very few for the more experienced looking to further their skills.,,"Andy Kirk, Alberto Cairo, Stephanie Evergreen, Giorgia Lupi",Same,12,Masters,Academic,Statistics,Woman,No,Dundee,Scotland,English
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,None of these describe my role,$40k - $60k,$28.00,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Hand-crafted with pen & paper or other physical means, Excel",2,Data Science/Analytics,1,0,0,6,2,0,Excel,We have a set list of tools we're expected to use for data visualization and this causes no issue,"Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Pictorial Visualization, Choropleth Map, Dot plot, waffle chart, etc. ","General Public, epidemiologists, public health professionals, lawmakers, nonprofit staff, academics.","Intro, Moderate",Not tracked / Unknown,"Journalism, Analysis, Summarization, Education, Research",Collaborative,4,"Leadership/content reviewers don't understand data viz best practices, have had no training.",I wish I had more time to do exploratory analysis and make products that highlight that work.,"They try to apply ancient standards to today's visualizations. For example, if I label lines in a chart directly, they say there should be a legend instead. If I label a chart with a key takeaway, they'll say it should be ""Heat Stress Rates in Wisconsin, 1999-2019.""",2,1,3,People above me understood the importance of data viz and valued best practices.,"I work in government, so I value tips, tricks, and advice using free or standard tools (e.g., excel). ","Ann Emery, Stephanie Evergreen",More,0,Masters,Public sector,Health Science,Woman,"No, but I identify as an Ally",Madison,USA,
Mostly Self-Taught,"Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$80k - $100k,,"Analysis, Communication, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),4,Data Science/Analytics,5,,10,,15,,"Excel, Illustrator, Tableau",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Static Web Page, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Medical Professionals, Executives",Intro,Monthly,"Analysis, Summarization, Education",Subordinate,2,lack of tools,increased value by leadership ,"that it is more than ""pretty pictures"" ",5,4,2,access to more tools and training ,how to influence leadership in valuing this work ,Edward Tufte,More,2,Masters,Academic,Sociology,Woman,No,Pleasant Hill,USA,English
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,None of these describe my role,$40k - $60k,,"Analysis, Summary/Overview, Exploration",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),2,Planning Dept,2,1,0,1,1,0,"Excel, Cognos",We have a set list of tools we're expected to use for data visualization and this causes major issues,"Dashboard, Documents","Line Chart, Bar Chart, Pie Chart","Executives, HR Business Partners",Moderate,Not tracked / Unknown,"Analysis, Planning",Subordinate,1,Users not using existing dashboards because they aren't in a useful format or portable,Access to a better data visualization tool,The complexity behind what appears to be a simple dashboard,4,2,1,A more flexible tool for producing data viz,,,More,20,Bachelors,Academic,IT & Computing,Woman,No,Sheffield,United Kingdom,English
